date,day_of_week,attendance,meals_prepared,meals_consumed,waste,is_holiday,is_exam_day,is_event_day
2026-07-25,Saturday,269,254,241,13,0,0,0
2026-07-26,Sunday,115,111,104,7,0,0,0
2026-07-27,Monday,426,448,400,48,0,0,0
2026-07-28,Tuesday,457,456,421,35,0,0,0
2026-07-29,Wednesday,467,453,430,23,0,0,0
2026-07-30,Thursday,434,449,406,43,0,0,0
2026-07-31,Friday,361,407,338,69,0,0,0
2026-08-01,Saturday,262,241,231,10,0,0,0
2026-08-02,Sunday,151,149,142,7,0,0,0
2026-08-03,Monday,431,423,395,28,0,0,0
2026-08-04,Tuesday,452,434,409,25,0,0,0
2026-08-05,Wednesday,472,463,417,46,0,0,0
2026-08-06,Thursday,445,460,412,48,0,0,0
2026-08-07,Friday,385,407,358,49,0,0,0
2026-08-08,Saturday,210,214,197,17,0,0,0
2026-08-09,Sunday,127,125,114,11,0,0,0
2026-08-10,Monday,412,399,365,34,0,0,0
2026-08-11,Tuesday,477,479,435,44,0,0,0
2026-08-12,Wednesday,471,466,430,36,0,0,0
2026-08-13,Thursday,446,446,416,30,0,0,0
2026-08-14,Friday,396,414,365,49,0,0,0
2026-08-15,Saturday,254,235,226,9,0,0,0
2026-08-16,Sunday,149,145,135,10,0,0,0
2026-08-17,Monday,408,407,381,26,0,0,0
2026-08-18,Tuesday,482,475,436,39,0,0,0
2026-08-19,Wednesday,451,469,420,49,0,0,0
2026-08-20,Thursday,414,421,376,45,0,0,0
2026-08-21,Friday,384,400,349,51,0,0,0
2026-08-22,Saturday,206,191,182,9,0,0,0
2026-08-23,Sunday,142,133,126,7,0,0,0
2026-08-24,Monday,446,424,397,27,0,0,0
2026-08-25,Tuesday,438,441,409,32,0,0,0
2026-08-26,Wednesday,432,402,385,17,0,0,0
2026-08-27,Thursday,454,429,404,25,0,0,0
